category_id,post_name,option A,option B,option C,option D,correct option,explanation
29,शरणको मरण गर्नु हुँदैन भन्ने राजा को हुन् ? ,प्रताप मल्ल,रणजीत मल्ल ,अंशुबर्मा,लक्ष्मी नरसिंह मल्ल,b,
29,पशुपति नाथमा भट्ट पुजारी राख्ने चलन कसले चलाएका हुन् ?,यक्ष मल्ल ,प्रताप मल्ल,जयस्थिति मल्ल ,सिद्धिनरसिंह मल्ल ,a,
29,प्रजा मर्दा छाक छोड्ने राजा को हुन् ? ,महेन्द्र मल्ल ,भिम मल्ल,श्री ५ महेन्द्र,अंशुबर्मा,a,
29,डोला प्रथाको शुरुवात गर्ने राजा को हुन् ? ,सुपुष्प ,गुणकामदेव ,प्रताप मल्ल,रणजीत मल्ल ,c,
29,लिच्छवी कालका आदि पुरुष कसलाई भनिन्छ ? ,अंशुबर्मा,मानदेव,जयदेव ,सुपुष्प ,d,
29,कान्तिपुर शहरको स्थापना कसले गरेका हुन् ?,जयदेव ,गुणकामदेव ,प्रताप मल्ल,मोहनशमशेर ,b,
29,अरनिकोले प्रचलनमा ल्याएको प्यागोडा शैलीलाई के भनिन्छ ?,चाइनिज प्यागोडा ,पूर्वी एशियाली प्यागोडा,पाइतास्ते ,मुगल प्यागोडा ,c,
29,विभाजन पछि पाटनका प्रथम राजा को थिए ?,जयस्थिति मल्ल ,सिद्धिनरसिंह मल्ल ,शिवसिंह मल्ल,रण मल्ल ,d,
4,काष्टमण्डप कति क्षेत्रफलमा फैलिएको छ ?,२५ वर्ग कि.मी ,२० वर्ग कि.मी ,१५ वर्ग कि.मी ,१० वर्ग कि.मी ,b,
29,प्रथम किराँति राजा यलम्बरले कसलाई पराजित गरी शाशन सत्ता हातमा लिएका थिए? ,जयदेव प्रथम ,सुपुष्प ,भूवनसिंह ,प्रचण्डदेव,c,
29,नेपाल शब्दको पहिलो उल्लेख कहाँ भएको थियो ? ,मनुस्मृती ,चाणक्य नीति ,महाभारत,अर्थव परिशिस्टमा ,d,
29,योग्य बाबुका अयोग्य सन्तानका रुपमा कसलाई चिनिन्छ ? ,रणबहादुर शाह ,प्रताप मल्ल ,प्रतापसिंह शाह ,श्री ५ सुरेन्द्र,c,
29,बहादुर शाहको अर्को नाम के थियो ? ,कर्म बहादुर ,फत्ते बहादुर ,रण बहादुर ,बल बहादुर ,b,
29,सुन्धाराको निर्माण कसले गरेका थिए ? ,भिमसेन थापा ,जयदेव ,श्री ५ सुरेन्द्र,श्री ५ महेन्द्र,,
29,महेन्द्र राजमार्गको शिलन्यास कहिले कसले गरेका थिए ? ,"बिरेन्द्र,१९ वैशाख २०२१","श्री ५ महेन्द्र वैशाख १९, २०२०","श्री ५ महेन्द्र वैशाख २०, २०२०","श्री ५ महेन्द्र जेठ १९, २०२०",c,
29,पशुपतिका प्रथम भट्ट पुजारी को थिए  ? ,स्वामि शेखरानन्द ,महाबलेश्वर भट्ट,भूपतिन्द्र भट्ट,श्री निवास भट्ट,a,
29,नेपालमा चलचित्र बनाउनका लागि उत्प्रेरणा दिने राजा को हुन् ? ,प्रतापसिंह शाह ,रणबहादुर शाह ,श्री ५ बिरेन्द्र ,राजा महेन्द्र ,d,
4,चश्मा लगाउने पहिलो नेपाली को हुन् ? ,राजा महेन्द्र ,सुरेन्द्र विक्रम शाह ,रणबहादुर शाह ,जंग बहादुर राणा ,b,
29,अरिदेव मल्लका छोरा को थिए ? ,जयदेव मल्ल   ,उदयदेव मल्ल,रणजित मल्ल,अभय मल्ल ,d,
29,श्री ५ राजेन्द्रलाई राजगद्दीबाट पदच्युत गरी बन्दी गराउने को हुन् ? ,मोहन शमशेर,चन्द्र शमशेर,जंग बहादुर ,देव शमशेर,c,
29,उपत्यकाको राज्य विभाजन गरी आफ्ना छोराहरूलाई बाँड्ने राजा को हुन् ? ,अभय मल्ल ,यक्ष मल्ल ,रणजित मल्ल,भूपतिन्द्र मल्ल,b,
29,धरहराको निर्माण कहिले भएको थियो ? ,वि.सं १८८०,वि.सं १८९०,वि.सं १९८३,वि.सं १९८२ ,d,
29,कुन शाह वंशिय राजाको पालामा नेपालको सिमाना तेब्बर भएको थियो ? ,प्रतापसिंह शाह ,पृथ्वी नारायण शाह ,बहादुर शाह ,श्री ५ महेन्द्र,c,
28,मिश्रको सभ्यता कुन नदीको किनारमा विकसित भएको हो ? ,जोर्डन नदी ,नाइल नदी ,मिसिसिपी नदी ,अमेजन नदी ,b,
28,प्राग ऐतिहासिक युगलाई अर्को कुन नामले पनि चिनिन्छ ? ,मध्य युग ,प्राचीन युग ,हिम युग ,सत्य युग,c,
28,युरोपमा प्राचीन युगको अन्त्य कहिले भएको मानिन्छ ? ,सन् ६४६,सन् ४४६,सन् ५७६,सन् ४७६,d,
28,भारतीय महाद्धिपमा विकसित भएको वैदिक सभ्यतालाई के भनिन्छ ? ,आर्य सभ्यता ,रोमको सभ्यतामा ,मंगोलियन सभ्यता ,सिन्धुघाँटी सभ्यता ,a,
28,प्रस्तर कलाको सुरुवात कहाँबाट भएको हो ? ,रोम,मिश्र ,युनान,नेपाल,b,
28,कुन सभ्यतामा तामा पत्ता लगाइएको थियो ? ,सिन्धुघाँटी ,रोमको सभ्यतामा ,मेसोपोटामियाको सभ्यता ,सिन्धुघाँटी सभ्यता ,a,
28,सर्वपप्रथम नाटक लेख्ने र रंगमन्चन गर्ने कार्यको थालनी कहाँबाट भएको हो ? ,अमेरिका ,इजरायल,युनान,रसिया,c,
28,पत्थरको मुद्राको विकास कुन सभ्यतामा भएको थियो ? ,मेसोपोटामियाको सभ्यता ,रोमको सभ्यतामा ,आर्य सभ्यता ,सिन्धुघाँटी सभ्यता ,a,
28,सबभन्दा पहिला सिमेन्टको प्रयोग कुन सभ्यतामा भएको थियो ? ,मंगोलियन सभ्यता ,सिन्धुघाँटी सभ्यता ,रोमको सभ्यतामा ,मेसोपोटामियाको सभ्यता ,c,
28,मध्य युगमा इसाई र इस्लाम धर्मावलम्वीहरूको बीच भएको युद्धलाई कुन नामले चिनिन्छ ? ,धार्मिक युद्ध ,स्वतन्त्रताको युद्ध,सामाजिक युद्ध,कुसेड ,d,
28,चिनियाँ सभ्यताको विकास कहिले भएको मानिन्छ ? ,इ.पू १४००,ई.पू २८५२ ,इ.पू २५००,इ.पू २६२०,b,
28,इस्लाम धर्मको उदयलाई कुन युगको देन मानिन्छ ? ,प्राचिन युग,मध्य युग ,प्राग ऐतिहासिक,आधुनिक काल,b,
28,मध्य युगलाई अर्को के नामले चिनिन्छ ? ,सामन्ती युग ,प्राचिन युग,प्राग ऐतिहासिक,आदिम,a,
28,यूनानी सभ्यतामा राजालाई के भनिन्थ्यो ? ,प्राग ऐतिहासिक,जार,किङ्ग,पोलिस ,d,
28,नगर योजनाको विकासको सुरुवात कुन सभ्यताको विशेषता मानिन्छ ? ,रोमको सभ्यतामा ,मेसोपोटामियाको सभ्यता ,सिन्धुघाँटीको सभ्यता,चिनियाँ सभ्यता ,c,
28,सुमेरियनहरूको कानुन संग्रह कुन देवताको नाममा गरिएको थियो ? ,जिसस,जियस ,अल्लाह,दिनाभद्री ,b,
28,मध्यकालमा देशको सम्पूर्ण जमिनको मालिक को हुने व्यवस्था थियो ? ,महाजन,व्यापारी ,जिम्वाल,राजा ,d,
28,मिश्रको इतिहासमा कसको युगलाई स्वर्ण युग भनिन्थ्यो ? ,अमनहोटेप चतुर्थ ,टरिन क्यानन,फारोह,फारुक,a,
28,यूनानी सभ्यतामा प्रमुख बाली के थियो ? ,गहुँ ,मकै,भटमास,धान,a,
25,सूर्य एवम् ग्रहहरू पृथ्वीको वरिपरि घुम्छन् भन्ने विचारको खण्डन गरे वापत जिउँदै जलाइएका वैज्ञानिक को हुन् ? ,ग्यालिलियो ग्यालिलि,निकोलस कोपर्निकस,निल आर्मस्ट्रङ,गिआर्डिनो ब्रुनो ,d,
28,कुन चाहिँ सभ्यतामा सार्वजनिक सेवामा सर्वप्रथम प्रतियोगितात्मक प्रणाली अपनाइएको थियो ? ,आर्य सभ्यता ,चिनियाँ सभ्यता ,रुसी सभ्यता,अमेरिकन सभ्यता,b,
28,मानव सभ्यता सम्बन्धी इतिहासमा सबैभन्दा बढी विकसित र महत्वपूर्ण सभ्यता कुनलाई मानिन्छ ? ,रोमको सभ्यतामा ,मेसोपोटामियाको सभ्यता ,सिन्धुघाँटीको सभ्यता,ग्रीसको प्राचीन सभ्यता ,d,
28,डेटोटिक लिपिको विकास कुन सभ्यतामा भएको थियो ? ,ग्रीसको प्राचीन सभ्यता ,मिश्रको सभ्यता ,रोमको सभ्यतामा ,चिनियाँ सभ्यता ,b,
29,पृथ्वीनारायण शाहको पहिलो विवाह कोसँग भएको थियो ? ,नरेन्द्र लक्ष्मी ,बिजय लक्ष्मी,इन्द्रकुमारी ,राजेन्द्रलक्ष्मी,b,
29,नेपाल प्रवेश गर्नु भन्दा पहिला अहिरवंशीहरूको मुल थलो कहाँ थियो ? ,"मथुरा वृन्दावन, भारत ","अयोध्या, भारत","सिक्किम, भारत","भोपाल, भारत",a,
9,पैसा छुँदा पाप लाग्छ भन्ने विश्वास कुन जातीमा रहेको छ ? ,धिमाल ,सन्थाल ,राउटे ,मेचे,c,
9,कुन जातीको विवाहमा दुलाहाको साथमा कालो छाता अनिवार्य मानिन्छ ? ,गन्गाई,राई ,गुरूङ,तामाङ,b,
9,मुसहरको कुल देवतालाई के भनिन्छ ? ,गणेश,भिमसेन ,दिनाभद्री ,देउवागण,c,
9,तेरिमिन कुन जातिको चाड हो ? ,मेचे,गुरूङ,मारवाडी ,मार्फाली ,d,
9,बच्चा जन्मिएपछि अनुहार हेर्दा एक रुपैयाँ र एक ईंटा दिने चलन कुन जातिमा रहेको छ ? ,धिमाल ,मारवाडी ,गन्गाई,राजवंशी ,b,
9,चण्डी पूजा कुन जातीको पर्व हो ? ,राई ,गुरूङ,तामाङ,लिम्बु,a,
9,मेचे जातिहरूको बसोबास कहाँ  रहेको छ  ? ,दाङ,झापा ,सुनसरी ,बर्दिया,b,
20,मुस्लिम महिलाहरूले शीरदेखि पाउसम्म छोपिने गरी लगाउने कालो कपडालाई के भनिन्छ ? ,गाउन,बुर्का ,पालाहन्दा ,लवेदा,b,
9,मुगाली जातिको बसोबास कहाँ रहेको छ ? ,बाँके ,दाङ,मुगु ,सुनसरी ,c,
9,गणगौर पूजा कुन जातिसँग सम्बन्धित छ ? ,मारवाडी ,राजवंशी ,चेपाङ,मुसहर,a,
9,माझीहरूको कुल देवतालाई के भनिन्छ ? ,कुमार,दिनाभद्री ,वायु,भिमसेन ,d,
20,हंगेरीका आदिवासी मग्यारबिच नजिकको सम्बन्ध रहेको मानिने नेपालको जाति कुन हो ? ,लिम्बु,राजवंशी ,मगर,तामाङ,c,
9,भोटे जातीहरू बसोबास गरेको क्षेत्रलाई के भनिन्छ ? ,डिहिवार,जडान ,भोट,लेक,b,
9,केटी भगाएपछि केटीको बाबु आमासँग माफी माग्ने चलन कुन जातिमा रहेको छ ? ,चेपाङ,माझी ,बाह्र गाउँले ,राई,c,
9,कुल देवताको रुपमा वायु देवताको पूजा गर्ने जाति कुन हो ? ,शेर्पा,बराम ,राजवंशी ,पुनेल ,b,
9,केटीको अपहरण गरेर विवाह गर्ने चलन कुन जातिमा रहेको छ ? ,राजवंशी ,तामाङ,बाह्र गाउँले ,पुनेल ,d,
9,भटमास र अदुवालाई पवित्र मान्ने जाति कुन हो ? ,नेवार,मारवाडी ,पहरी ,राजवंशी ,c,
9,नेवार जातिले गोसाईं कुण्डलाई के भन्दछन् ? ,सपन तिर्थ,शिलुतिर्थ ,मातातिर्थ,बिष्णुमति,b,
9,नेवार भाषाको लिपिलाई के भनिन्छ ? ,देवनागरी ,मलयालम लिपि,रन्जना लिपी ,सम्भोट लिपि,c,
9,नेवार महिलाहरूले टाउकोमा लगाउने सुनको गहनालाई के भनिन्छ ? ,ताज,बुलिन ,सिरबन्दी,चन्द्रमा,b,
9,विवाहमा दुलहा अन्माउनु भन्दा अघि गधाको पूजा गर्ने चलन कुन जातिमा रहेको छ ? ,पहरी ,बराम ,मार्फाली ,मारवाडी ,d,
9,माझी जातीको सबैभन्दा ठूलो देवता को हुन् ? ,भिमसेन,गैडु,महादेव,सेतीदेवी,a,
9,नेपालको आदिवासी चरित्रको सबै भन्दा पुरानो जाति कसलाई मानिन्छ ? ,थारू,मधेसी,मगर,राउटे ,d,
9,मेचे जातीहरूको बसोबास कुन जिल्लामा रहेको छ ? ,झापा,बाँके ,सुनसरी,बर्दिया,a,
9,मुण्डा जातीको बसोबास कहाँ रहेको छ ? ,सप्तरी,सुनसरी,झापा,मोरङ,c,
9,मार्फाली जातिको बसोबास कहाँ रहेको छ ? ,पर्वत,मुस्ताङ,जुम्ला ,हुम्ला,b,
9,मृतकको चिहान माथि मृतकको खटिया उत्तानो पारेर राख्ने चलन कुन जातीमा छ ? ,मेचे,माझी ,राजवंशी ,बाह्र गाउँले ,b,
9,मगरको पुरोहितलाई के भनिन्छ ? ,पण्डित,धन्नम,भुसाल ,देउवागण,c,
9,मगरहरूको बसोबास भएको क्षेत्रलाई के भनिन्छ ? ,लिम्बुवान,थरूहट,मधेस,मगरात,d,
9,बराम जातीले बोल्ने भाषालाई के भनिन्छ ? ,बर्मेली,बराम ,नेवारी,हिन्दी,b,
9,सुपारी विवाहको चलन कुन जातीमा रहेको छ ? ,गुरूङ,धिमाल,पहरी ,राजवंशी ,b,
9,विवाह पूर्व केटाकेटीको उचाई लौराले नापी बराबर भएमा विवाहको लागी सर्वोत्तम ठान्ने जाती कुन हो ? ,छन्थाल,चेपाङ,धानुक ,माझी ,c,
9,धानको खेती गर्न रुचाउने जाती भनेर कुन जातीलाई चिनिन्छ ? ,धानुक,धिमाल,पहरी ,राजवंशी ,a,
9,पाठीको बलि दिएर भंगेर पूजा गर्ने जाती कुन हो ? ,मगर,दराई ,दुरा ,थारू,c,
9,नयाँ वर्षको दिन पुरानो आगो निभाई नयाँ आगो बाल्ने चलन कुन जातीमा रहेको छ ? ,धानुक,दराई ,बाह्र गाउँले ,मेचे,b,
9,चुड्का कुन जातीको लोकप्रिय गीत हो ? ,दराई ,थारू,पहरी ,बराम ,a,
9,धानुक जातिको बसोबास कहाँ रहेको छ ? ,हिमाली क्षेत्र ,पहाडी क्षेत्र,तराई क्षेत्रमा ,उच्च हिमाली क्षेत्र,c,
9,दाङ जिल्लामा बसोबास गर्ने थारूलाई के भनिन्छ ? ,डगौरा थारू,राना थारू,कोठोरिया थारू,कोचिला थारू,a,
9,सहलेस नाच कुन जातीसँग सम्बन्धीत छ ? ,मुसहर,धिमाल,सतार,दनुवार ,d,
9,महर्वा नृत्य कुन जातीसँग सम्बन्धित छ ? ,मधेसी ,थारू,राजवंशी ,सुनार,b,
9,दनुवार जातीको इस्टदेवतालाई के भनिन्छ ? ,महादेव,दिनाभद्री ,सहलेस ,वायु,c,
9,तोरनल्ह पर्व कुन महिनामा मनाइन्छ ? ,वैशाख,फागुन ,माघ,चैत,b,
9,सरस्वती नाच कुन जातीसँग सम्बन्धीत छ ? ,लिम्बु,तामाङ,राई,गुरूङ,b,
9,मृत्यु संस्कार गर्दा १०८ बत्ती बाल्ने चलन कुन जातीमा छ ? ,मगर ,शेर्पा,लामा,तामाङ,d,
9,ताप्केगोला जातीको बसोबास कहाँ रहेको छ ? ,लमजुङ्,ताप्लेजुङ,पाँचथर,झापा,b,
9,तामाङ जातीले मृत्यु संस्कारमा घेवा गर्दा १०८ बत्ती बाल्ने कार्यलाई के भनिन्छ ? ,घेवा,ढिकुर,ग्याम्जा ,,c,
9,ताङ्वे जातीको बसोबास कहाँ रहेको छ ? ,मनाङ,गुल्मी,कालिकोट,मुस्ताङ,d,
9,मरेको लासलाई काटेर गिद्धलाई खुवाउने चलन कुन जातिमा रहेको छ ? ,ल्होमी,डोल्पो,लेप्चा ,ल्होपा ,b,
9,घन्टी बजाउँदा उत्तानो परेर बजाउने जाती कुन हो ? ,लामा,तामाङ,डोल्पो ,थामी ,c,
9,विवाहमा सिन्दुर साटासाट गर्ने चलन कुन जातीमा रहेको छ ? ,माझी,झाँगड,दनुवार ,मेचे,b,
9,प्रजा जाती भन्नाले कुन जातीलाई चिनिन्छ ? ,तामाङ,मेचे,चेपाङ,मगर ,c,
9,झाँगड जातीमा झगडा मिलाउने व्यक्तिलाई के भनिन्छ ? ,लमी,भाईज्यान ,मुखिया,जिवा,b,
9,गुरूङहरूको मुख्य मान्छेलाई के भनिन्छ ? ,चिवा ,जिवा,बाजे,नाइके,a,
9,पुटपुटे नाच कुन जातीसँग छ ? ,तामाङ,शेर्पा,मगर ,गुरूङ,d,
33,गुरूङ भाषामा बनेको पहिलो टेलिचलचित्र कुन हो ? ,ङोलो ङोल्स्यो,आप्पा,पाते ,तखेवा ,c,
33,लिम्बु भाषाको प्रथम टेलिचलचित्र कुन हो ? ,पाते ,नुमाफुङ,तखेवा ,म्थिेबा,c,
9,सुत्केरी भएको तेस्रो दिनमा जाँडरक्सी खुवाएर सुत्केरी चोख्याउने चलन कुन जातीमा रहेको छ ? ,ल्होमी,लेप्चा ,कोचे,सतार,b,
9,अस्ताच्यो र नामथर कुन जातीको धर्मग्रन्थ हो ? ,चेपाङ,ल्होमी ,लेप्चा ,झाँगड,c,
9,टुङ्ना कुन जातीको परम्परागत बाजा हो ? ,ल्होमी ,लिम्बु,लेप्चा ,ल्होपा ,d,
9,कारभोटे भनेर चिनिने जाति कुन हो ? ,ल्होपा ,सतार,ल्होमी ,दमाई,c,
9,बच्चा जन्मिसकेपछि मात्रै केटीको वैवाहिक विधि पूरा भएको मान्ने चलन कुन जातिमा रहेको छ ? ,लेप्चा ,ल्होमी ,राई,दनुवार ,b,
9,चण्डी पूजा कुन जातीको पर्व हो ? ,गुरूङ,तामाङ,राई,मगर ,c,
9,सिउडीको बोटलाई कुल देवताको रुपमा पूजा गर्ने जाति कुन हो ? ,मेचे ,दनुवार ,कोचे,सतार,a,
9,माझीहरूको कुल देवतालाई के भनिन्छ ? ,ईन्द्र,सेतीदेवी,सहलेस,भीमसेन ,d,
9,मगरहरूको बसोबास रहेको क्षेत्रलाई के भनिन्छ ? ,डिहिवार ,बेसी,मगरात,जडान,c,
9,बाँतर जातिहरू बसोबास गर्ने क्षेत्रलाई के भनिन्छ ? ,मगरात,डिहिवार ,बाँतर बस्ती,जडान,b,
9,बाह्र गाउँले जातिको बसोबास कहाँ रहेको छ ? ,मनाङ,झापा,मुस्ताङ,मोरङ,c,
9,पहरी जातिको बसोबास कुन जिल्लामा रहेको छ ? ,सिन्धुपाल्चोक ,चितवन ,मकवानपुर,काभ्रेपलान्चोक ,d,
9,मधेसका लिम्बु अथवा मधेसका किराँत भनेर चिनिने जाती कुन हो ? ,धिताल,धिमाल  ,राजवंशी ,धानुक,b,
9,सहलेस नाच कुन जातिसँग सम्बन्धित छ ? ,दनुवार ,सतार,धिमाल  ,चेपाङ,a,
9,आफ्नो सम्पति अरूलाई नदिई थामी राख्ने जाति भन्नाले कुन जातिलाई चिनिन्छ ? ,धानुक,राजवंशी ,थामी ,धिताल,c,
9,थकाली जातिहरूले फागुपूर्णिमामा मनाउने चाड कुन हो ? ,फालो ,लाफेवा,सिरुवा,तोरनल्ह ,d,
9,भोटेसेलो कुन जातिसँग सम्बन्धित छ ? ,मगर,तामाङ,राई,लिम्बु,b,
9,मृत्यु संस्कारमा घेवा गर्ने चलन कुन जातिमा रहेको छ ? ,मगर,लिम्बु,तामाङ,शेर्पा,c,
